humidity,weather,device_id,created_at,switch_id,updated_at,id,status,days,is_motion,light_intensity,time_minutes,temperature
52.8667,5,1,4/12/2020 0:00,1,,44787,FALSE,7,FALSE,0,0,26.75
52.8667,5,1,4/12/2020 0:00,1,,44789,FALSE,7,FALSE,0,1,26.75
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,2,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,3,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,4,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,5,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,6,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,7,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,8,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,9,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,10,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,11,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,12,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,13,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,14,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,15,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,16,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,17,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,18,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,19,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,20,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,21,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,22,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,23,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,24,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,25,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,26,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,27,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,28,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,29,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,30,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,31,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,32,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,33,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,34,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,35,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,36,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,37,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,38,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,39,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,40,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,41,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,42,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,43,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,44,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,45,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,46,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,47,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,48,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,49,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,50,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,51,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,52,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,53,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,54,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,55,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,56,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,57,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,58,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,59,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,60,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,61,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,62,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,63,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,64,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,65,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,66,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,67,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,68,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,69,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,70,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,71,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,72,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,73,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,74,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,75,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,76,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,77,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,78,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,79,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,80,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,81,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,82,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,83,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,84,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,85,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,86,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,87,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,88,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,89,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,90,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,91,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,92,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,93,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,94,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,95,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,96,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,97,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,98,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,99,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,100,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,101,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,102,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,103,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,104,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,105,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,106,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,107,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,108,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,109,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,110,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,111,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,112,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,113,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,114,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,115,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,116,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,117,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,118,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,119,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,120,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,121,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,122,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,123,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,124,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,125,26.7
53.1,5,1,4/12/2020 0:00,1,,44791,FALSE,7,TRUE,0,126,26.7
